adder,fir_tree_depth,sim_functional,sim_mismatches,lut4,ff,dsp,fmax_mhz,dyn_power_mw,notes
han_carlson_adder,log2(20)+1,PASS,0,222,44,0,42.956,2.595,baseline (default FIR_ADDER); RTL is structurally Kogge-Stone
kogge_stone_adder,log2(20),PASS,0,222,44,0,42.956,2.595,identical netlist to han_carlson_adder in this RTL
brent_kung_adder,2*log2(20)-1,PASS,0,223,44,0,41.762,2.595,slowest; no advantage at 20-bit here
sklansky_adder,log2(20),PASS,0,238,44,0,44.955,2.599,fastest Fmax (+4.7%) at +16 LUT4
